AIRPORT;APT_ID;ICAO_CODE;IATA_CODE;LAT;LON;IS_PIP;IS_APDF;IS_PRR2016;IS_PRR2017;IS_PRR2018;IS_PRR2019;IS_PRR2020;APDF_NAME;NAME;PRU_NAME;DASHBOARD_NAME;CTRY_ICAO_CODE;CTRY_NAME;CTRY_ABBREVIATION;TOT_MVT_2019
EGPD;2822;EGPD;ABZ;57,2025000000000;-2,1980555555555603;Y;Y;N;N;N;N;N;Aberdeen;Aberdeen;Aberdeen;Aberdeen;EG;UNITED KINGDOM;United Kingdom;51233
LIRA;4393;LIRA;CIA;41,7994444444444;12,5972222222222179;Y;Y;N;N;N;N;N;Rome - Ciampino;Rome/Ciampino;Rome/Ciampino;Rome/Ciampino;LI;ITALY;Italy;51154
EDDN;1781;EDDN;NUE;49,4986111111111;11,0780555555555491;Y;Y;N;N;N;N;N;Nuremberg;Nurenberg;Nurenberg;Nurenberg;ED;GERMANY;Germany;49207
GMMX;3254;GMMX;RAK;31,6086111111111;-8,0408333333333299;N;N;N;N;N;N;N;Menara;Marrakech;Marrakech;Marrakech;GM;MOROCCO;Morocco;49075
LEBB;3849;LEBB;BIO;43,3011111111111;-2,9105555555555602;Y;Y;N;N;N;N;N;Bilbao;Bilbao;Bilbao;Bilbao;LE;SPAIN;Spain Continental;48984
EYVI;2748;EYVI;VNO;54,6369444444444;25,2877777777777695;Y;Y;N;N;N;N;N;Vilnius;Vilnius Intl;Vilnius Intl;Vilnius Intl;EY;LITHUANIA;Lithuania;46775
GCFV;3217;GCFV;FUE;28,4527777777778;-13,8638888888888800;Y;Y;N;N;N;N;N;Fuerteventura;Fuerteventura;Fuerteventura;Fuerteventura;GC;CANARY ISLANDS (SPAIN);Spain Canarias;46356
LDZA;3843;LDZA;ZAG;45,7430555555556;16,0688888888888783;Y;Y;N;N;N;N;N;Zagreb;Zagreb;Zagreb;Zagreb;LD;CROATIA;Croatia;44307
EETN;2390;EETN;TLL;59,4133333333333;24,8324999999999996;Y;Y;N;N;N;N;N;Tallinn;Tallinn/Ulemiste;Tallinn/Ulemiste;Tallinn/Ulemiste;EE;ESTONIA;Estonia;43904
EGNT;2815;EGNT;NCL;55,0380555555556;-1,6897222222222199;Y;Y;N;N;N;N;N;Newcastle;Newcastle;Newcastle;Newcastle;EG;UNITED KINGDOM;United Kingdom;43438
LIMF;4363;LIMF;TRN;45,2025000000000;7,6494444444444403;Y;Y;N;N;N;N;N;Torino Caselle;Torino/Caselle;Torino/Caselle;Torino/Caselle;LI;ITALY;Italy;39229
UGTB;8837;UGTB;TBS;41,6691666666667;44,9547222222222160;N;N;N;N;N;N;N;Tbilisi;TBILISI/TBILISI;Tbilisi;Tbilisi;UG;GEORGIA;Georgia;36165
EBLG;1743;EBLG;LGG;50,6363888888889;5,4427777777777795;N;N;N;N;N;N;N;Liège;Liege/Liege;Liege;Liege;EB;BELGIUM;Belgium;34876
EDDW;1787;EDDW;BRE;53,0475000000000;8,7866666666666706;Y;Y;N;N;N;N;N;Bremen;Bremen;Bremen;Bremen;ED;GERMANY;Germany;29375
LATI;3819;LATI;TIA;41,4147222222222;19,7205555555555456;N;N;N;N;N;N;N;Tirana;Tirana;Tirana;Tirana;LA;ALBANIA;Albania;28500
LJLJ;4406;LJLJ;LJU;46,2244444444444;14,4561111111111096;Y;Y;N;N;N;N;N;Ljubljana;Ljubljana;Ljubljana;Ljubljana;LJ;SLOVENIA;Slovenia;27935
LUKK;4758;LUKK;KIV;46,9277777777778;28,9308333333333287;N;N;N;N;N;N;N;Chișinău;Kishinev;Kishinev;Kishinev;LU;REPUBLIC OF MOLDOVA;Moldova;27354
EICK;2892;EICK;ORK;51,8413888888889;-8,4911111111111097;Y;Y;N;N;N;N;N;Cork;Cork;Cork;Cork;EI;IRELAND;Ireland;27002
UDYZ;8683;UDYZ;EVN;40,1472222222222;44,3958333333333286;N;N;N;N;N;N;N;Yerevan;YEREVAN;Yerevan;Yerevan;UD;ARMENIA;Armenia;25556
LZIB;4769;LZIB;BTS;48,1700000000000;17,2127777777777702;Y;Y;N;N;N;N;N;Bratislava;Bratislava Ivanka;Bratislava Ivanka;Bratislava Ivanka;LZ;SLOVAKIA;Slovakia;22593
EDDC;1772;EDDC;DRS;51,1344444444444;13,7680555555555486;Y;Y;N;N;N;N;N;Dresden;Dresden;Dresden;Dresden;ED;GERMANY;Germany;20524
LWSK;4760;LWSK;SKP;41,9616666666667;21,6213888888888803;N;N;N;N;N;N;N;Skopje;Skopje;Skopje;Skopje;LW;NORTH MACEDONIA;North Macedonia;18845
EDDG;1775;EDDG;FMO;52,1347222222222;7,6847222222222200;Y;Y;N;N;N;N;N;Muenster-Osnabrueck;Muenster-Osnabrueck;Muenster-Osnabrueck;Muenster-Osnabrueck;ED;GERMANY;Germany;18604
LYPG;4765;LYPG;TGD;42,3594444444444;19,2519444444444368;N;N;N;N;N;N;N;Podgorica;Podgorica;Podgorica;Podgorica;LY;SERBIA AND MONTENEGRO;Serbia and Montenegro;14557
LQSA;4467;LQSA;SJJ;43,8244444444444;18,3316666666666599;N;N;N;N;N;N;N;Sarajevo;Sarajevo;Sarajevo;Sarajevo;LQ;BOSNIA AND HERZEGOVINA;Bosnia and Herzegovina;12918
EDDR;1783;EDDR;SCN;49,2144444444444;7,1094444444444402;Y;Y;N;N;N;N;N;Saarbruecken;Saarbrucken/Ensheim;Saarbrucken/Ensheim;Saarbrucken/Ensheim;ED;GERMANY;Germany;7978
EDDE;1773;EDDE;ERF;50,9797222222222;10,9580555555555499;Y;Y;N;N;N;N;N;Erfurt;Erfurt;Erfurt;Erfurt;ED;GERMANY;Germany;4607
