ANSP_NAME,PRU_ATC_TYPE,AUA_CODE,AUA_NAME
PANSA,APP,EPPOTMA,APP EPPO
PANSA,APP,EPRATMA,RADOM TOWER
PANSA,APP,EPRZCTR,RZESZOW TOWER
PANSA,APP,EPRZTMA,RZESZOW TMA
PANSA,APP,EPSCTMA,SZCZECIN TOWER
PANSA,APP,EPSYTMA,APP OLSZTYN-MAZURY
PANSA,APP,EPWACTR,WARSZAWA CTR
PANSA,APP,EPWATMA,WARSZAWA APPROACH
PANSA,ACC,EPWWCTA,WARSZAWA ACC
PANSA,FIS,EPWWICTA,WARSZAWA FLT INFO
PANSA,APP,EPZGCTR,ZIELONA GORA/BABIMOST
LFV,APP,ESDFTMA,RONNEBY APPROACH
LFV,APP,ESGGTMA,GOTEBORG APPROACH
LFV,APP,ESGTTMA,TROLLHATTAN-VANERSBORG
LFV,APP,ESIATMA,KARLSBORG APPROACH
LFV,APP,ESIBTMA,SATENAS APPROACH
LFV,APP,ESMKTMA,KRISTIANSTAD APP
LFV,ACC,ESMMCTA,MALMO ACC
LFV,APP,ESMTTMA,HALMSTAD APP
LFV,APP,ESNOTMA,ORNSKOLDSVIK APPROACH
LFV,APP,ESNQCTR,KIRUNA TOWER
LFV,APP,ESNUCTR,UMEA TOWER
LFV,APP,ESNZTMA,OSTERSUND APP
LFV,ACC,ESOSCTA,STOCKHOLM ACC
LFV,APP,ESPATMA,KALLAX APPRAOCH
LFV,APP,ESPETMA,VIDSEL APPROACH
LFV,APP,ESSACTR,ARLANDA TWR
LFV,APP,ESSATMA,ARLANDA  APPROACH
LFV,APP,ESSPTMA,OSTGOTA APPROACH
LFV,APP,ESSVTMA,VISBY TOWER
LGS,APP,EVLATMA,APP LIEPAYA
LGS,ACC,EVRRCTA,RIGA ACC
Oro Navigacija,FIS,EYKACTA,KAUNAS FIC
Oro Navigacija,APP,EYKATMA,KAUNAS APP
Oro Navigacija,FIS,EYPACTA,PALANGA FIC
Oro Navigacija,APP,EYPATMA,PALANGA APPROACH
Oro Navigacija,FIS,EYSACTA,SIAULIAI FIC
